date_monday,year_iso,week_iso_num,geo_level,geo_code,geo_name,indicator,value
2020-11-03,2020,45,REG,11,Île-de-France,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,11,Île-de-France,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,11,Île-de-France,adhesion_vaccinale_adultes,45.744627479465635
2021-01-12,2021,2,REG,11,Île-de-France,adhesion_vaccinale_adultes,60.46852979502434
2021-02-09,2021,6,REG,11,Île-de-France,adhesion_vaccinale_adultes,65.96795428116016
2021-03-09,2021,10,REG,11,Île-de-France,adhesion_vaccinale_adultes,65.36626381749154
2021-04-20,2021,16,REG,11,Île-de-France,adhesion_vaccinale_adultes,72.92511011210637
2021-05-11,2021,19,REG,11,Île-de-France,adhesion_vaccinale_adultes,79.11513792531915
2021-06-15,2021,24,REG,11,Île-de-France,adhesion_vaccinale_adultes,82.91663147161171
2021-07-13,2021,28,REG,11,Île-de-France,adhesion_vaccinale_adultes,84.78183828211098
2021-08-24,2021,34,REG,11,Île-de-France,adhesion_vaccinale_adultes,90.55875
2021-09-28,2021,39,REG,11,Île-de-France,adhesion_vaccinale_adultes,91.29516970006038
2020-11-03,2020,45,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,41.07057841676237
2021-01-12,2021,2,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,54.301730236393134
2021-02-09,2021,6,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,59.39997849545613
2021-03-09,2021,10,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,60.99742633169842
2021-04-20,2021,16,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,64.34558052685307
2021-05-11,2021,19,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,79.21830550300243
2021-06-15,2021,24,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,78.34780742146253
2021-07-13,2021,28,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,83.78741720940762
2021-08-24,2021,34,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,84.29544
2021-09-28,2021,39,REG,24,Centre-Val de Loire,adhesion_vaccinale_adultes,88.18275014668465
2020-11-03,2020,45,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,40.76763869367965
2021-01-12,2021,2,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,55.61199262527724
2021-02-09,2021,6,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,59.57704969488917
2021-03-09,2021,10,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,57.328949046097186
2021-04-20,2021,16,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,64.24196333560374
2021-05-11,2021,19,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,74.77861107035571
2021-06-15,2021,24,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,71.95244924846965
2021-07-13,2021,28,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,85.15346585365138
2021-08-24,2021,34,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,82.39961
2021-09-28,2021,39,REG,27,Bourgogne-Franche-Comté,adhesion_vaccinale_adultes,87.59457796844282
2020-11-03,2020,45,REG,28,Normandie,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,28,Normandie,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,28,Normandie,adhesion_vaccinale_adultes,44.42510943999492
2021-01-12,2021,2,REG,28,Normandie,adhesion_vaccinale_adultes,51.76717226587818
2021-02-09,2021,6,REG,28,Normandie,adhesion_vaccinale_adultes,46.435970748531666
2021-03-09,2021,10,REG,28,Normandie,adhesion_vaccinale_adultes,59.46953040617808
2021-04-20,2021,16,REG,28,Normandie,adhesion_vaccinale_adultes,73.67788972943248
2021-05-11,2021,19,REG,28,Normandie,adhesion_vaccinale_adultes,70.99071134297128
2021-06-15,2021,24,REG,28,Normandie,adhesion_vaccinale_adultes,78.41329109606102
2021-07-13,2021,28,REG,28,Normandie,adhesion_vaccinale_adultes,83.03776903109028
2021-08-24,2021,34,REG,28,Normandie,adhesion_vaccinale_adultes,87.85846000000001
2021-09-28,2021,39,REG,28,Normandie,adhesion_vaccinale_adultes,88.07705341800917
2020-11-03,2020,45,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,32.15734095423577
2021-01-12,2021,2,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,47.526048498702814
2021-02-09,2021,6,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,53.49281557010508
2021-03-09,2021,10,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,57.76847560964943
2021-04-20,2021,16,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,72.56197483453477
2021-05-11,2021,19,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,77.22847299753573
2021-06-15,2021,24,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,76.19110208382399
2021-07-13,2021,28,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,83.19216677321339
2021-08-24,2021,34,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,90.45815
2021-09-28,2021,39,REG,32,Hauts-de-France,adhesion_vaccinale_adultes,89.9247948839477
2020-11-03,2020,45,REG,44,Grand Est,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,44,Grand Est,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,44,Grand Est,adhesion_vaccinale_adultes,43.41608056473059
2021-01-12,2021,2,REG,44,Grand Est,adhesion_vaccinale_adultes,49.94264917629688
2021-02-09,2021,6,REG,44,Grand Est,adhesion_vaccinale_adultes,56.63350355104605
2021-03-09,2021,10,REG,44,Grand Est,adhesion_vaccinale_adultes,52.57907493592702
2021-04-20,2021,16,REG,44,Grand Est,adhesion_vaccinale_adultes,67.44007041844603
2021-05-11,2021,19,REG,44,Grand Est,adhesion_vaccinale_adultes,76.83075218169537
2021-06-15,2021,24,REG,44,Grand Est,adhesion_vaccinale_adultes,78.48999184564904
2021-07-13,2021,28,REG,44,Grand Est,adhesion_vaccinale_adultes,79.10001119154309
2021-08-24,2021,34,REG,44,Grand Est,adhesion_vaccinale_adultes,86.20061
2021-09-28,2021,39,REG,44,Grand Est,adhesion_vaccinale_adultes,84.91550582444025
2020-11-03,2020,45,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,42.61693479261834
2021-01-12,2021,2,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,52.03753797333187
2021-02-09,2021,6,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,53.93394199783419
2021-03-09,2021,10,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,64.42537552054942
2021-04-20,2021,16,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,72.2066359912348
2021-05-11,2021,19,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,76.66264842341079
2021-06-15,2021,24,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,85.20089216874455
2021-07-13,2021,28,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,84.97583046800011
2021-08-24,2021,34,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,84.84846999999999
2021-09-28,2021,39,REG,52,Pays de la Loire,adhesion_vaccinale_adultes,92.05119142479164
2020-11-03,2020,45,REG,53,Bretagne,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,53,Bretagne,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,53,Bretagne,adhesion_vaccinale_adultes,49.49468665656346
2021-01-12,2021,2,REG,53,Bretagne,adhesion_vaccinale_adultes,57.21304915445972
2021-02-09,2021,6,REG,53,Bretagne,adhesion_vaccinale_adultes,71.53498555329755
2021-03-09,2021,10,REG,53,Bretagne,adhesion_vaccinale_adultes,68.88935988345428
2021-04-20,2021,16,REG,53,Bretagne,adhesion_vaccinale_adultes,72.22191838068227
2021-05-11,2021,19,REG,53,Bretagne,adhesion_vaccinale_adultes,74.69952096498088
2021-06-15,2021,24,REG,53,Bretagne,adhesion_vaccinale_adultes,81.42045343990083
2021-07-13,2021,28,REG,53,Bretagne,adhesion_vaccinale_adultes,87.94417946018332
2021-08-24,2021,34,REG,53,Bretagne,adhesion_vaccinale_adultes,91.38591
2021-09-28,2021,39,REG,53,Bretagne,adhesion_vaccinale_adultes,86.0409347632336
2020-11-03,2020,45,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,40.404335949902304
2021-01-12,2021,2,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,54.83407192788847
2021-02-09,2021,6,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,62.42021360999831
2021-03-09,2021,10,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,62.49715280993521
2021-04-20,2021,16,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,69.48517998610541
2021-05-11,2021,19,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,76.91005084794105
2021-06-15,2021,24,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,76.78281675626558
2021-07-13,2021,28,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,80.9998764099525
2021-08-24,2021,34,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,88.76745
2021-09-28,2021,39,REG,75,Nouvelle-Aquitaine,adhesion_vaccinale_adultes,84.50794363993427
2020-11-03,2020,45,REG,76,Occitanie,adhesion_vaccinale_adultes,
2020-11-17,2020,47,REG,76,Occitanie,adhesion_vaccinale_adultes,
2020-12-08,2020,50,REG,76,Occitanie,adhesion_vaccinale_adultes,31.46881995179621
2021-01-12,2021,2,REG,76,Occitanie,adhesion_vaccinale_adultes,49.97780462826276
2021-02-09,2021,6,REG,76,Occitanie,adhesion_vaccinale_adultes,55.68294815680714
2021-03-09,2021,10,REG,76,Occitanie,adhesion_vaccinale_adultes,63.15518530798128
2021-04-20,2021,16,REG,76,Occitanie,adhesion_vaccinale_adultes,69.72547154427875
2021-05-11,2021,19,REG,76,Occitanie,adhesion_vaccinale_adultes,65.81353616311306
2021-06-15,2021,24,REG,76,Occitanie,adhesion_vaccinale_adultes,72.61031093996696
2021-07-13,2021,28,REG,76,Occitanie,adhesion_vaccinale_adultes,82.25130137986028
2021-08-24,2021,34,REG,76,Occitanie,adhesion_vaccinale_adultes,82.29369
2021-09-28,2021,39,REG,76,Occitanie,adhesion_vaccinale_adultes,84.52218867481285
