geo_level,geo_code,geo_name,date_monday,year_iso,week_iso_num,pathogen,pathogentype,pathogensubtype,indicator,survtype,indicator_kind,value
FR,FR,France,2023-11-27,2023,48,Influenza,Influenza A,A (unknown),detections,primary care sentinel,count,1.0
FR,FR,France,2023-11-20,2023,47,Influenza,Influenza A,A (unknown),detections,primary care sentinel,count,1.0
FR,FR,France,2023-12-11,2023,50,Influenza,Influenza A,A (unknown),detections,primary care sentinel,count,2.0
FR,FR,France,2022-09-12,2022,37,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-09-12,2022,37,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-09-05,2022,36,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-09-05,2022,36,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-09-19,2022,38,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-09-19,2022,38,Influenza,Influenza A,total,detections,primary care sentinel,count,1.0
FR,FR,France,2022-10-03,2022,40,Influenza,Influenza A,total,detections,primary care sentinel,count,3.0
FR,FR,France,2022-10-03,2022,40,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-09-26,2022,39,Influenza,Influenza A,total,detections,primary care sentinel,count,4.0
FR,FR,France,2022-09-26,2022,39,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-08,2022,32,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-01,2022,31,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-01,2022,31,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-08,2022,32,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-07-25,2022,30,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-07-25,2022,30,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-29,2022,35,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-29,2022,35,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-22,2022,34,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-22,2022,34,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-15,2022,33,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-08-15,2022,33,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-07-11,2022,28,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-07-18,2022,29,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-07-18,2022,29,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-07-11,2022,28,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-06-20,2022,25,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-06-27,2022,26,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-06-27,2022,26,Influenza,Influenza A,total,detections,primary care sentinel,count,1.0
FR,FR,France,2022-07-04,2022,27,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-07-04,2022,27,Influenza,Influenza A,total,detections,primary care sentinel,count,0.0
FR,FR,France,2022-06-20,2022,25,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2023-12-11,2023,50,Influenza,Influenza A,total,detections,primary care sentinel,count,23.0
FR,FR,France,2023-12-11,2023,50,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2023-12-04,2023,49,Influenza,Influenza A,total,detections,primary care sentinel,count,18.0
FR,FR,France,2023-12-04,2023,49,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2023-12-18,2023,51,Influenza,Influenza A,total,detections,primary care sentinel,count,33.0
FR,FR,France,2023-12-18,2023,51,Influenza,Influenza B,total,detections,primary care sentinel,count,1.0
FR,FR,France,2023-11-13,2023,46,Influenza,Influenza A,total,detections,primary care sentinel,count,2.0
FR,FR,France,2023-11-13,2023,46,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2023-11-20,2023,47,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2023-11-27,2023,48,Influenza,Influenza A,total,detections,primary care sentinel,count,10.0
FR,FR,France,2023-11-27,2023,48,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2023-11-20,2023,47,Influenza,Influenza A,total,detections,primary care sentinel,count,6.0
FR,FR,France,2023-12-25,2023,52,Influenza,Influenza A,total,detections,primary care sentinel,count,11.0
FR,FR,France,2023-12-25,2023,52,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2023-11-06,2023,45,Influenza,Influenza A,total,detections,primary care sentinel,count,2.0
FR,FR,France,2023-11-06,2023,45,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
FR,FR,France,2023-01-30,2023,5,Influenza,Influenza B,total,detections,primary care sentinel,count,46.0
FR,FR,France,2023-01-23,2023,4,Influenza,Influenza A,total,detections,primary care sentinel,count,32.0
FR,FR,France,2023-01-23,2023,4,Influenza,Influenza B,total,detections,primary care sentinel,count,36.0
FR,FR,France,2023-01-30,2023,5,Influenza,Influenza A,total,detections,primary care sentinel,count,38.0
FR,FR,France,2023-02-06,2023,6,Influenza,Influenza A,total,detections,primary care sentinel,count,19.0
FR,FR,France,2023-02-06,2023,6,Influenza,Influenza B,total,detections,primary care sentinel,count,46.0
FR,FR,France,2023-01-09,2023,2,Influenza,Influenza B,total,detections,primary care sentinel,count,20.0
FR,FR,France,2023-01-02,2023,1,Influenza,Influenza A,total,detections,primary care sentinel,count,50.0
FR,FR,France,2023-01-02,2023,1,Influenza,Influenza B,total,detections,primary care sentinel,count,15.0
FR,FR,France,2023-01-09,2023,2,Influenza,Influenza A,total,detections,primary care sentinel,count,30.0
FR,FR,France,2023-01-16,2023,3,Influenza,Influenza A,total,detections,primary care sentinel,count,31.0
FR,FR,France,2023-01-16,2023,3,Influenza,Influenza B,total,detections,primary care sentinel,count,14.0
FR,FR,France,2023-03-06,2023,10,Influenza,Influenza A,total,detections,primary care sentinel,count,9.0
FR,FR,France,2023-03-06,2023,10,Influenza,Influenza B,total,detections,primary care sentinel,count,58.0
FR,FR,France,2023-03-13,2023,11,Influenza,Influenza B,total,detections,primary care sentinel,count,43.0
FR,FR,France,2023-03-20,2023,12,Influenza,Influenza A,total,detections,primary care sentinel,count,1.0
FR,FR,France,2023-03-20,2023,12,Influenza,Influenza B,total,detections,primary care sentinel,count,36.0
FR,FR,France,2023-03-13,2023,11,Influenza,Influenza A,total,detections,primary care sentinel,count,6.0
FR,FR,France,2023-02-13,2023,7,Influenza,Influenza A,total,detections,primary care sentinel,count,19.0
FR,FR,France,2023-02-13,2023,7,Influenza,Influenza B,total,detections,primary care sentinel,count,43.0
FR,FR,France,2023-02-20,2023,8,Influenza,Influenza B,total,detections,primary care sentinel,count,58.0
FR,FR,France,2023-02-27,2023,9,Influenza,Influenza A,total,detections,primary care sentinel,count,10.0
FR,FR,France,2023-02-27,2023,9,Influenza,Influenza B,total,detections,primary care sentinel,count,38.0
FR,FR,France,2023-02-20,2023,8,Influenza,Influenza A,total,detections,primary care sentinel,count,11.0
FR,FR,France,2022-11-07,2022,45,Influenza,Influenza A,total,detections,primary care sentinel,count,4.0
FR,FR,France,2022-11-07,2022,45,Influenza,Influenza B,total,detections,primary care sentinel,count,0.0
