geo_level,geo_code,geo_name,date_monday,indicator,value,year_iso,week_iso_num
FR,FR,France,2020-02-10,grocery and pharmacy,1.6923076923076923,2020,7
FR,FR,France,2020-02-10,parks,17.5,2020,7
FR,FR,France,2020-02-10,residential,-0.7692307692307693,2020,7
FR,FR,France,2020-02-10,retail and recreation,2.8461538461538463,2020,7
FR,FR,France,2020-02-10,transit stations,17.192307692307693,2020,7
FR,FR,France,2020-02-10,workplaces,-1.1538461538461537,2020,7
FR,FR,France,2020-02-17,grocery and pharmacy,0.7032967032967032,2020,8
FR,FR,France,2020-02-17,parks,25.81318681318681,2020,8
FR,FR,France,2020-02-17,residential,1.8351648351648353,2020,8
FR,FR,France,2020-02-17,retail and recreation,0.6263736263736264,2020,8
FR,FR,France,2020-02-17,transit stations,5.252747252747254,2020,8
FR,FR,France,2020-02-17,workplaces,-11.153846153846153,2020,8
FR,FR,France,2020-02-24,grocery and pharmacy,1.1758241758241756,2020,9
FR,FR,France,2020-02-24,parks,9.010989010989011,2020,9
FR,FR,France,2020-02-24,residential,3.054945054945055,2020,9
FR,FR,France,2020-02-24,retail and recreation,-2.186813186813187,2020,9
FR,FR,France,2020-02-24,transit stations,-2.5604395604395602,2020,9
FR,FR,France,2020-02-24,workplaces,-13.285714285714286,2020,9
FR,FR,France,2020-03-02,grocery and pharmacy,2.3626373626373627,2020,10
FR,FR,France,2020-03-02,parks,0.2527472527472528,2020,10
FR,FR,France,2020-03-02,residential,1.8901098901098903,2020,10
FR,FR,France,2020-03-02,retail and recreation,-2.945054945054945,2020,10
FR,FR,France,2020-03-02,transit stations,-2.241758241758242,2020,10
FR,FR,France,2020-03-02,workplaces,-2.901098901098901,2020,10
FR,FR,France,2020-03-09,grocery and pharmacy,6.934065934065933,2020,11
FR,FR,France,2020-03-09,parks,7.978021978021977,2020,11
FR,FR,France,2020-03-09,residential,2.582417582417582,2020,11
FR,FR,France,2020-03-09,retail and recreation,-11.79120879120879,2020,11
FR,FR,France,2020-03-09,transit stations,-8.307692307692308,2020,11
FR,FR,France,2020-03-09,workplaces,-2.703296703296703,2020,11
