geo_level,geo_code,geo_name,year,births_total,births_married,births_outside_marriage,births_male,births_female
FR,FR,France,1901,917075.0,836891.0,80184.0,468125.0,448950.0
FR,FR,France,1902,904434.0,824916.0,79518.0,462097.0,442337.0
FR,FR,France,1903,884498.0,806481.0,78017.0,451510.0,432988.0
FR,FR,France,1904,877091.0,799923.0,77168.0,447651.0,429440.0
FR,FR,France,1905,865604.0,788677.0,76927.0,442397.0,423207.0
FR,FR,France,1906,864745.0,788528.0,76217.0,441358.0,423387.0
FR,FR,France,1907,829632.0,753079.0,76553.0,424692.0,404940.0
FR,FR,France,1908,848982.0,773277.0,75705.0,435027.0,413955.0
FR,FR,France,1909,824739.0,752147.0,72592.0,421882.0,402857.0
FR,FR,France,1910,828140.0,756278.0,71862.0,423581.0,404559.0
FR,FR,France,1911,793506.0,724061.0,69445.0,405239.0,388267.0
FR,FR,France,1912,801642.0,731576.0,70066.0,410816.0,390826.0
FR,FR,France,1913,795851.0,725654.0,70197.0,407569.0,388282.0
FR,FR,France,1914,757931.0,693429.0,64502.0,386560.0,371371.0
FR,FR,France,1915,482968.0,428859.0,54109.0,247205.0,235763.0
FR,FR,France,1916,384676.0,331710.0,52966.0,197133.0,187543.0
FR,FR,France,1917,412744.0,354064.0,58680.0,211353.0,201391.0
FR,FR,France,1918,472816.0,407436.0,65380.0,244107.0,228709.0
FR,FR,France,1919,506960.0,439649.0,67311.0,261049.0,245911.0
FR,FR,France,1920,838137.0,754844.0,83293.0,432044.0,406093.0
FR,FR,France,1921,816555.0,742927.0,73628.0,418461.0,398094.0
FR,FR,France,1922,764373.0,698421.0,65952.0,391800.0,372573.0
FR,FR,France,1923,765888.0,699306.0,66582.0,393194.0,372694.0
FR,FR,France,1924,757873.0,693165.0,64708.0,387889.0,369984.0
FR,FR,France,1925,774455.0,707876.0,66579.0,397044.0,377411.0
FR,FR,France,1926,771690.0,706452.0,65238.0,394627.0,377063.0
FR,FR,France,1927,748102.0,685284.0,62818.0,382256.0,365846.0
FR,FR,France,1928,753570.0,690173.0,63397.0,386216.0,367354.0
FR,FR,France,1929,734140.0,672585.0,61555.0,375448.0,358692.0
FR,FR,France,1930,754020.0,691304.0,62716.0,384658.0,369362.0
FR,FR,France,1931,737611.0,678936.0,58675.0,376921.0,360690.0
FR,FR,France,1932,726299.0,669723.0,56576.0,371330.0,354969.0
FR,FR,France,1933,682394.0,631176.0,51218.0,347973.0,334421.0
FR,FR,France,1934,681518.0,632324.0,49194.0,347967.0,333551.0
FR,FR,France,1935,643870.0,598701.0,45169.0,328346.0,315524.0
FR,FR,France,1936,634344.0,592946.0,41398.0,322982.0,311362.0
FR,FR,France,1937,621453.0,581050.0,40403.0,316925.0,304528.0
FR,FR,France,1938,615582.0,576828.0,38754.0,314214.0,301368.0
FR,FR,France,1939,615599.0,576839.0,38760.0,313712.0,301887.0
FR,FR,France,1940,561281.0,521143.0,40138.0,286361.0,274920.0
FR,FR,France,1941,522261.0,480092.0,42169.0,266348.0,255913.0
FR,FR,France,1942,575261.0,530911.0,44350.0,295346.0,279915.0
FR,FR,France,1943,615780.0,567109.0,48671.0,317654.0,298126.0
FR,FR,France,1944,629878.0,570611.0,59267.0,323710.0,306168.0
FR,FR,France,1945,645899.0,578023.0,67876.0,331721.0,314178.0
FR,FR,France,1946,843904.0,770629.0,73275.0,433825.0,410079.0
FR,FR,France,1947,870472.0,804060.0,66412.0,447510.0,422962.0
FR,FR,France,1948,870836.0,807649.0,63187.0,447898.0,422938.0
FR,FR,France,1949,872661.0,811636.0,61025.0,447510.0,425151.0
FR,FR,France,1950,862310.0,801880.0,60430.0,441795.0,420515.0
FR,FR,France,1951,826722.0,770126.0,56596.0,423797.0,402925.0
FR,FR,France,1952,822204.0,766713.0,55491.0,421546.0,400658.0
FR,FR,France,1953,804696.0,750982.0,53714.0,412599.0,392097.0
FR,FR,France,1954,810754.0,757284.0,53470.0,416078.0,394676.0
FR,FR,France,1955,805917.0,754308.0,51609.0,412159.0,393758.0
FR,FR,France,1956,806916.0,755707.0,51209.0,413546.0,393370.0
FR,FR,France,1957,1667979.0,766005.0,50462.0,417634.0,398833.0
FR,FR,France,1958,1659449.0,762306.0,49909.0,415221.0,396994.0
FR,FR,France,1959,1693830.0,778452.0,50797.0,424405.0,404844.0
FR,FR,France,1960,1676287.0,770043.0,49776.0,419775.0,400044.0
FR,FR,France,1961,1713799.0,788958.0,49675.0,428877.0,409756.0
FR,FR,France,1962,1702849.0,783030.0,49323.0,425919.0,406434.0
FR,FR,France,1963,1776149.0,817504.0,51372.0,443844.0,425032.0
FR,FR,France,1964,1793891.0,825853.0,51951.0,449511.0,428293.0
FR,FR,France,1965,1770386.0,814479.0,51209.0,443390.0,422298.0
FR,FR,France,1966,1765566.0,812005.0,51522.0,442128.0,421399.0
FR,FR,France,1967,1718027.0,788834.0,51734.0,430641.0,409927.0
FR,FR,France,1968,1708742.0,782431.0,53365.0,427623.0,408173.0
FR,FR,France,1969,1719338.0,787380.0,54865.0,431346.0,410899.0
FR,FR,France,1970,1734107.0,792227.0,58154.0,436599.0,413782.0
FR,FR,France,1971,1797654.0,819224.0,62060.0,451978.0,429306.0
FR,FR,France,1972,1788667.0,811345.0,66161.0,450667.0,426839.0
FR,FR,France,1973,1745950.0,786972.0,70214.0,440190.0,416996.0
FR,FR,France,1974,1633284.0,733460.0,67758.0,411439.0,389779.0
FR,FR,France,1975,1519611.0,681636.0,63429.0,381804.0,363261.0
FR,FR,France,1976,1467576.0,658926.0,61469.0,369439.0,350956.0
FR,FR,France,1977,1514940.0,679346.0,65398.0,382337.0,362407.0
FR,FR,France,1978,1498066.0,667841.0,69221.0,378281.0,358781.0
FR,FR,France,1979,1539792.0,679521.0,77833.0,388604.0,368750.0
FR,FR,France,1980,1626431.0,709261.0,91115.0,410547.0,389829.0
FR,FR,France,1981,1636487.0,703337.0,102146.0,413480.0,392003.0
FR,FR,France,1982,1620483.0,683825.0,113398.0,409205.0,388018.0
FR,FR,France,1983,1523966.0,629674.0,118851.0,383659.0,364866.0
FR,FR,France,1984,1547368.0,624674.0,135265.0,389310.0,370629.0
FR,FR,France,1985,1564569.0,617939.0,150492.0,394112.0,374319.0
FR,FR,France,1986,1584011.0,607786.0,170682.0,399199.0,379269.0
FR,FR,France,1987,1563618.0,582902.0,184926.0,393231.0,374597.0
FR,FR,France,1988,1571828.0,568202.0,203066.0,395439.0,375829.0
FR,FR,France,1989,1561574.0,549410.0,216063.0,391649.0,373824.0
FR,FR,France,1990,1555478.0,533300.0,229107.0,391312.0,371095.0
FR,FR,France,1991,1549134.0,517428.0,241628.0,389239.0,369817.0
FR,FR,France,1992,1518413.0,496791.0,246867.0,381744.0,361914.0
FR,FR,France,1993,1452916.0,463279.0,248331.0,364589.0,347021.0
FR,FR,France,1994,1451767.0,919866.0,531901.0,743737.0,708030.0
FR,FR,France,1995,1488667.0,921778.0,566889.0,761785.0,726882.0
FR,FR,France,1996,1498366.0,908367.0,589999.0,769149.0,729217.0
FR,FR,France,1997,1484152.0,882789.0,601363.0,761840.0,722312.0
FR,FR,France,1998,1505986.0,885595.0,620391.0,771308.0,734678.0
FR,FR,France,1999,1520587.0,878304.0,642283.0,779999.0,740588.0
FR,FR,France,2000,1582187.0,900432.0,681755.0,811390.0,770797.0
FR,FR,France,2001,1574179.0,878258.0,695921.0,804980.0,769199.0
FR,FR,France,2002,1554375.0,858811.0,695564.0,795628.0,758747.0
FR,FR,France,2003,1554508.0,844200.0,710308.0,794817.0,759691.0
FR,FR,France,2004,1567177.0,832220.0,734957.0,803239.0,763938.0
FR,FR,France,2005,1581177.0,823999.0,757178.0,809269.0,771908.0
FR,FR,France,2006,1626248.0,813220.0,813028.0,832314.0,793934.0
FR,FR,France,2007,1604690.0,782976.0,821714.0,821396.0,783294.0
FR,FR,France,2008,1624448.0,778242.0,846206.0,830143.0,794305.0
FR,FR,France,2009,1618061.0,755715.0,862346.0,827791.0,790270.0
FR,FR,France,2010,1635023.0,743241.0,891782.0,835944.0,799079.0
FR,FR,France,2011,1616390.0,720836.0,895554.0,825734.0,790656.0
FR,FR,France,2012,1611337.0,704951.0,906386.0,825187.0,786150.0
FR,FR,France,2013,1593131.0,688309.0,904822.0,815511.0,777620.0
FR,FR,France,2014,1599732.0,672496.0,927236.0,817593.0,782139.0
FR,FR,France,2015,1559369.0,647271.0,912098.0,797951.0,761418.0
FR,FR,France,2016,1528337.0,624972.0,903365.0,782357.0,745980.0
FR,FR,France,2017,1499795.0,610399.0,889396.0,767510.0,732285.0
FR,FR,France,2018,1478327.0,595224.0,883103.0,757747.0,720580.0
FR,FR,France,2019,1467412.0,581086.0,886326.0,749962.0,717450.0
