date_monday,year_iso,week_iso_num,geo_level,geo_code,geo_name,classe_d_age,taux_passages_urgences,taux_hosp,taux_sos,topic
2019-12-30,2020,1,FR,FR,France,0-1 an,1763.3438461,4065.4672664,877.2978628,RSV
2019-12-30,2020,1,FR,FR,France,00-04 ans,0.0,0.0,0.0,COVID
2019-12-30,2020,1,FR,FR,France,00-04 ans,14567.174515,36441.615938,13785.492124,IRA
2019-12-30,2020,1,FR,FR,France,05-14 ans,0.0,0.0,0.0,COVID
2019-12-30,2020,1,FR,FR,France,05-14 ans,2459.3669803,2033.0368488,10082.853532,IRA
2019-12-30,2020,1,FR,FR,France,15-64 ans,0.0,0.0,0.0,COVID
2019-12-30,2020,1,FR,FR,France,15-64 ans,2509.7030935,3566.0137061,11573.184534,IRA
2019-12-30,2020,1,FR,FR,France,65 ans ou plus,0.0,0.0,0.0,COVID
2019-12-30,2020,1,FR,FR,France,65 ans ou plus,7258.7464847,11086.474501,18731.238743,IRA
2019-12-30,2020,1,FR,FR,France,Tous âges,0.0,0.0,0.0,COVID
2019-12-30,2020,1,FR,FR,France,Tous âges,5174.9182086,10003.914976,12857.317745,IRA
2020-01-06,2020,2,FR,FR,France,0-1 an,1283.5930147,3226.2129805,541.12554113,RSV
2020-01-06,2020,2,FR,FR,France,00-04 ans,0.0,0.0,0.0,COVID
2020-01-06,2020,2,FR,FR,France,00-04 ans,11423.337175,28148.83291,11984.690216,IRA
2020-01-06,2020,2,FR,FR,France,05-14 ans,0.0,0.0,0.0,COVID
2020-01-06,2020,2,FR,FR,France,05-14 ans,1883.1837575,2164.3286573,10153.148043,IRA
2020-01-06,2020,2,FR,FR,France,15-64 ans,0.0,0.0,0.0,COVID
2020-01-06,2020,2,FR,FR,France,15-64 ans,2246.0669428,3509.5454345,11928.024752,IRA
2020-01-06,2020,2,FR,FR,France,65 ans ou plus,1.4445856928,3.2724654755,0.0,COVID
2020-01-06,2020,2,FR,FR,France,65 ans ou plus,6395.1808621,9768.3094443,17287.656719,IRA
2020-01-06,2020,2,FR,FR,France,Tous âges,0.3316155647,1.6607709299,0.0,COVID
2020-01-06,2020,2,FR,FR,France,Tous âges,4188.6361978,8405.1616761,12435.634595,IRA
2020-01-13,2020,3,FR,FR,France,0-1 an,1122.6776909,2690.5132193,577.39357364,RSV
2020-01-13,2020,3,FR,FR,France,00-04 ans,0.0,0.0,0.0,COVID
2020-01-13,2020,3,FR,FR,France,00-04 ans,11583.227041,25830.979796,15352.121556,IRA
2020-01-13,2020,3,FR,FR,France,05-14 ans,0.0,0.0,0.0,COVID
2020-01-13,2020,3,FR,FR,France,05-14 ans,2432.4187506,2316.1764706,15641.293014,IRA
2020-01-13,2020,3,FR,FR,France,15-64 ans,0.0,0.0,0.0,COVID
2020-01-13,2020,3,FR,FR,France,15-64 ans,2153.8311941,3418.6168355,13085.585586,IRA
2020-01-13,2020,3,FR,FR,France,65 ans ou plus,0.0,0.0,0.0,COVID
2020-01-13,2020,3,FR,FR,France,65 ans ou plus,5916.3229228,9254.2587592,15202.901392,IRA
2020-01-13,2020,3,FR,FR,France,Tous âges,0.0,0.0,0.0,COVID
2020-01-13,2020,3,FR,FR,France,Tous âges,4158.7938273,7984.5641697,14168.839126,IRA
2020-01-20,2020,4,FR,FR,France,0-1 an,1192.589558,2907.9861111,495.30685921,RSV
2020-01-20,2020,4,FR,FR,France,00-04 ans,0.0,0.0,0.0,COVID
2020-01-20,2020,4,FR,FR,France,00-04 ans,13468.862958,27405.900305,17598.523505,IRA
2020-01-20,2020,4,FR,FR,France,05-14 ans,0.0,0.0,0.0,COVID
2020-01-20,2020,4,FR,FR,France,05-14 ans,4245.8670162,3702.372394,21801.675085,IRA
2020-01-20,2020,4,FR,FR,France,15-64 ans,0.0,0.0,0.0,COVID
2020-01-20,2020,4,FR,FR,France,15-64 ans,2596.3432466,3344.026014,17990.967627,IRA
2020-01-20,2020,4,FR,FR,France,65 ans ou plus,0.0,0.0,0.0,COVID
2020-01-20,2020,4,FR,FR,France,65 ans ou plus,5843.8272156,9032.8498149,15918.4514,IRA
2020-01-20,2020,4,FR,FR,France,Tous âges,0.0,0.0,0.0,COVID
2020-01-20,2020,4,FR,FR,France,Tous âges,4923.0496297,8127.6028652,18347.096281,IRA
2020-01-27,2020,5,FR,FR,France,0-1 an,1110.1390954,2835.3837141,527.61269749,RSV
2020-01-27,2020,5,FR,FR,France,00-04 ans,0.0,0.0,0.0,COVID
2020-01-27,2020,5,FR,FR,France,00-04 ans,14561.158218,28727.123175,20743.132377,IRA
2020-01-27,2020,5,FR,FR,France,05-14 ans,0.0,0.0,0.0,COVID
2020-01-27,2020,5,FR,FR,France,05-14 ans,6008.0077438,4788.7323944,27173.555531,IRA
2020-01-27,2020,5,FR,FR,France,15-64 ans,0.5739770294,4.3367015048,0.0,COVID
2020-01-27,2020,5,FR,FR,France,15-64 ans,3522.4970297,4284.6610868,22875.394025,IRA
2020-01-27,2020,5,FR,FR,France,65 ans ou plus,1.4433346804,3.3246891416,0.0,COVID
2020-01-27,2020,5,FR,FR,France,65 ans ou plus,6134.1723919,9329.0777312,17740.558993,IRA
2020-01-27,2020,5,FR,FR,France,Tous âges,0.5989404743,3.2783123248,0.0,COVID
2020-01-27,2020,5,FR,FR,France,Tous âges,5869.0177077,8746.5372826,22758.053288,IRA
2020-02-03,2020,6,FR,FR,France,0-1 an,1024.9819625,2491.8130396,455.01551189,RSV
