geo_code,geo_name_rsv,taux_passages_bronchio_sau_popnorm,taux_hospit_bronchio_sau_popnorm,taux_actes_bronchio_sos_popnorm,geo_name_vac,couv_dose1,couv_complet,couv_rappel,port_du_masque,lavage_des_mains,eviter_les_regrupements,aeration_du_logement,saluer_sans_serrer_la_main,adhesion_vaccinale_adultes,adhesion_vaccinale_enfants,grocery and pharmacy,parks,residential,retail and recreation,transit stations,workplaces,score_mnp,tmean,tmean_szn_pct,tmean_szn_quintile,rsv_pos_pct,geo_level
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,4.928571428571429,50.0,2.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,5.9071428571428575,37.5,2.0,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,5.221428571428571,37.5,2.0,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,5.404285714285714,50.0,2.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,7.545714285714285,50.0,2.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,8.788571428571428,62.5,3.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,2.64,50.0,2.0,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,5.864285714285715,37.5,2.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,5.292857142857143,37.5,2.0,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,4.8428571428571425,37.5,2.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,5.8428571428571425,50.0,2.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,6.001428571428571,37.5,2.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,5.835714285714286,37.5,2.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,7.9,87.5,4.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,6.692857142857143,75.0,4.0,,REG
