geo_name,2020,2021,2022,2023,2024,2025
Auvergne et Rhône-Alpes,1,48,47,49,50,1
Bourgogne et Franche-Comté,1,48,49,50,1,1
Bretagne,1,13,48,48,49,1
Centre-Val de Loire,1,47,47,48,48,1
Corse,5,44,50,51,51,14
Grand Est,1,48,47,49,50,1
Guadeloupe,2,12,44,42,45,4
Guyane,49,42,47,47,44,25
Hauts-de-France,1,47,44,47,48,1
Martinique,,,,40,50,1
Mayotte,7,24,6,52,2,11
Normandie,1,48,47,47,50,1
Nouvelle Aquitaine,1,48,47,48,50,1
Occitanie,1,48,48,48,51,1
Pays de la Loire,1,48,47,48,51,1
Provence-Alpes-Côte d'Azur,1,48,48,49,50,1
Réunion,11,23,12,8,2,1
Île-de-France,1,47,44,47,47,1
