geo_code,geo_name,year_iso,peak_date,peak_week,peak_value
1,Guadeloupe,2020,2020-01-06,2,1567.1641791
3,Guyane,2020,2020-11-30,49,1461.1872146
4,Réunion,2020,2020-03-09,11,2572.1153846
6,Mayotte,2020,2020-02-10,7,2922.3744292
11,Île-de-France,2020,2019-12-30,1,1273.1481481
24,Centre-Val de Loire,2020,2019-12-30,1,2226.2334537
27,Bourgogne et Franche-Comté,2020,2019-12-30,1,1678.3216783
28,Normandie,2020,2019-12-30,1,1966.5907365
32,Hauts-de-France,2020,2019-12-30,1,1654.9295775
44,Grand Est,2020,2019-12-30,1,1656.7505721
52,Pays de la Loire,2020,2019-12-30,1,2049.0196078
53,Bretagne,2020,2019-12-30,1,2042.6829268
75,Nouvelle Aquitaine,2020,2019-12-30,1,1890.6064209
76,Occitanie,2020,2019-12-30,1,2150.8515815
84,Auvergne et Rhône-Alpes,2020,2019-12-30,1,2110.4725415
93,Provence-Alpes-Côte d'Azur,2020,2019-12-30,1,1927.8510473
94,Corse,2020,2020-01-27,5,1460.6741573
1,Guadeloupe,2021,2021-03-22,12,1769.2307692
3,Guyane,2021,2021-10-18,42,1814.516129
4,Réunion,2021,2021-06-07,23,2736.4864865
6,Mayotte,2021,2021-06-14,24,3374.2331288
11,Île-de-France,2021,2021-11-22,47,2152.5042206
24,Centre-Val de Loire,2021,2021-11-22,47,1948.5294118
27,Bourgogne et Franche-Comté,2021,2021-11-29,48,1522.0483642
28,Normandie,2021,2021-11-29,48,1733.996271
32,Hauts-de-France,2021,2021-11-22,47,1794.1529836
44,Grand Est,2021,2021-11-29,48,1599.0566038
52,Pays de la Loire,2021,2021-11-29,48,2380.952381
53,Bretagne,2021,2021-03-29,13,1997.6771196
75,Nouvelle Aquitaine,2021,2021-11-29,48,2098.5120575
76,Occitanie,2021,2021-11-29,48,2085.3658537
84,Auvergne et Rhône-Alpes,2021,2021-11-29,48,2130.8411215
93,Provence-Alpes-Côte d'Azur,2021,2021-11-29,48,2248.2517483
94,Corse,2021,2021-11-01,44,1855.6701031
1,Guadeloupe,2022,2022-10-31,44,2898.5507246
3,Guyane,2022,2022-11-21,47,2085.3080569
4,Réunion,2022,2022-03-21,12,2431.8181818
6,Mayotte,2022,2022-02-07,6,3309.8591549
11,Île-de-France,2022,2022-10-31,44,2831.1473473
24,Centre-Val de Loire,2022,2022-11-21,47,3175.3554502
27,Bourgogne et Franche-Comté,2022,2022-12-05,49,2958.2806574
28,Normandie,2022,2022-11-21,47,2538.377193
32,Hauts-de-France,2022,2022-10-31,44,2637.1022343
44,Grand Est,2022,2022-11-21,47,3331.9821646
52,Pays de la Loire,2022,2022-11-21,47,3965.1837524
53,Bretagne,2022,2022-11-28,48,2584.5620121
75,Nouvelle Aquitaine,2022,2022-11-21,47,3326.4569366
76,Occitanie,2022,2022-11-28,48,2786.4380359
84,Auvergne et Rhône-Alpes,2022,2022-11-21,47,3161.8483952
93,Provence-Alpes-Côte d'Azur,2022,2022-11-28,48,3170.063888
94,Corse,2022,2022-12-12,50,2189.3491124
1,Guadeloupe,2023,2023-10-16,42,2333.3333333
2,Martinique,2023,2023-10-02,40,2356.0209424
3,Guyane,2023,2023-11-20,47,1428.5714286
4,Réunion,2023,2023-02-20,8,2200.5571031
6,Mayotte,2023,2023-12-25,52,3333.3333333
11,Île-de-France,2023,2023-11-20,47,2546.0399227
24,Centre-Val de Loire,2023,2023-11-27,48,2643.5986159
27,Bourgogne et Franche-Comté,2023,2023-12-11,50,2259.8479613
28,Normandie,2023,2023-11-20,47,2416.5824065
32,Hauts-de-France,2023,2023-11-20,47,2386.3636364
44,Grand Est,2023,2023-12-04,49,2551.6621743
52,Pays de la Loire,2023,2023-11-27,48,3723.5915493
53,Bretagne,2023,2023-11-27,48,3285.5863921
75,Nouvelle Aquitaine,2023,2023-11-27,48,2735.4472314
76,Occitanie,2023,2023-11-27,48,2275.7999099
84,Auvergne et Rhône-Alpes,2023,2023-12-04,49,2698.6399427
