geo_code,geo_name,season,start,peak_date,end,peak_week,amplitude,duration_weeks,cumul
1,Guadeloupe,2019/2020,2019-12-30,2020-01-06,2020-06-22,2,1567.1641791,25.0,13037.11383858
1,Guadeloupe,2020/2021,2020-07-06,2021-03-22,2021-06-28,12,1769.2307692,51.0,31910.36117247
1,Guadeloupe,2021/2022,2021-07-05,2022-01-03,2022-06-27,1,1797.2582972710002,51.0,36185.447879769
1,Guadeloupe,2022/2023,2022-07-04,2022-10-31,2023-06-26,44,2838.3097607450004,51.0,50600.785951675
1,Guadeloupe,2023/2024,2023-07-31,2023-10-16,2024-06-24,42,2188.40579707,47.0,43290.59634788
1,Guadeloupe,2024/2025,2024-07-01,2024-11-04,2025-06-02,45,2720.162475154,48.0,40320.034884136
1,Guadeloupe,2025/2026,2025-06-30,2025-07-07,2025-07-14,28,417.52049179999995,2.0,1661.3294274999998
2,Martinique,2019/2020,2019-12-30,2019-12-30,2020-06-22,1,0.0,25.0,0.0
2,Martinique,2020/2021,2020-06-29,2020-06-29,2021-06-28,27,0.0,52.0,0.0
2,Martinique,2021/2022,2021-07-05,2021-07-05,2022-06-27,27,0.0,51.0,0.0
2,Martinique,2022/2023,2022-07-04,2023-06-26,2023-06-26,26,841.12149533,51.0,2048.58059404
2,Martinique,2023/2024,2023-07-03,2023-10-02,2024-06-24,40,2262.562998475,51.0,44070.95570615499
2,Martinique,2024/2025,2024-07-01,2024-12-09,2025-06-02,50,2558.50964237,48.0,52045.19609685
2,Martinique,2025/2026,2025-06-30,2025-06-30,2025-07-28,27,879.6570077299999,4.0,4316.384860019999
3,Guyane,2019/2020,2019-12-30,2020-06-22,2020-05-25,26,779.22077922,21.0,7411.12621486
3,Guyane,2020/2021,2020-09-07,2020-11-30,2021-05-17,49,1461.1872146,36.0,34790.70442902899
3,Guyane,2021/2022,2021-07-26,2021-10-18,2022-04-25,42,1542.4072854600001,39.0,43385.37108246
3,Guyane,2022/2023,2022-09-12,2022-11-21,2023-06-26,47,1938.24923337,41.0,38349.98942167
3,Guyane,2023/2024,2023-07-03,2023-11-20,2024-06-24,47,1304.34782612,51.0,34639.92355676001
3,Guyane,2024/2025,2024-07-29,2024-10-28,2025-06-23,44,1455.026455,47.0,39950.46408869001
3,Guyane,2025/2026,2025-06-30,2025-06-30,2025-07-21,27,473.41437195000003,3.0,4535.657172970001
4,Réunion,2019/2020,2019-12-30,2020-03-09,2020-06-22,11,2572.1153846,25.0,24200.292629249998
4,Réunion,2020/2021,2020-08-17,2021-06-07,2021-06-28,23,2736.4864865,45.0,46701.40801059
4,Réunion,2021/2022,2021-07-05,2022-03-21,2022-06-27,12,2076.0869565,51.0,57399.881271269995
4,Réunion,2022/2023,2022-09-19,2023-02-20,2023-06-26,8,1603.96619401,40.0,64352.80946299
4,Réunion,2023/2024,2023-08-21,2024-01-08,2024-05-06,2,1504.14220527,37.0,57427.598025269996
4,Réunion,2024/2025,2024-07-01,2024-12-16,2025-06-23,51,1601.23211866,51.0,44307.16830715
4,Réunion,2025/2026,2025-07-21,2025-06-30,2025-08-04,27,439.06288611,2.0,4080.9335765100004
6,Mayotte,2019/2020,2019-12-30,2020-02-10,2020-06-01,7,2596.28747268,22.0,42116.36965053999
6,Mayotte,2020/2021,2020-09-07,2021-06-14,2021-06-28,24,3259.29060006,42.0,54055.804293420006
6,Mayotte,2021/2022,2021-07-05,2022-02-07,2022-06-13,6,2878.2044786399997,49.0,80209.33603129002
6,Mayotte,2022/2023,2022-08-29,2022-12-26,2023-05-08,52,2737.48964864,36.0,60617.31421188001
6,Mayotte,2023/2024,2023-07-03,2024-01-08,2024-06-24,2,3936.01190473,51.0,68498.62199024
6,Mayotte,2024/2025,2024-07-01,2024-12-16,2025-06-02,51,4000.0,48.0,54814.67566765001
6,Mayotte,2025/2026,2025-06-30,2025-07-14,2025-07-21,29,377.54809072,3.0,1755.5054995
11,Île-de-France,2019/2020,2019-12-30,2019-12-30,2020-05-04,1,1246.4101801860002,18.0,10590.022226825999
11,Île-de-France,2020/2021,2020-09-07,2021-02-22,2021-06-07,8,1632.936744353,39.0,30905.813419296996
11,Île-de-France,2021/2022,2021-07-12,2021-11-22,2022-04-18,47,1971.7240112799998,40.0,38444.959583359996
