geo_code,geo_name,peak_week,peak_date,peak_value
1,Guadeloupe,12,2021-03-22,1769.2307692
3,Guyane,42,2021-10-18,1814.516129
4,Réunion,23,2021-06-07,2736.4864865
6,Mayotte,24,2021-06-14,3374.2331288
11,Île-de-France,47,2021-11-22,2152.5042206
24,Centre-Val de Loire,47,2021-11-22,1948.5294118
27,Bourgogne et Franche-Comté,48,2021-11-29,1522.0483642
28,Normandie,48,2021-11-29,1733.996271
32,Hauts-de-France,47,2021-11-22,1794.1529836
44,Grand Est,48,2021-11-29,1599.0566038
52,Pays de la Loire,48,2021-11-29,2380.952381
53,Bretagne,13,2021-03-29,1997.6771196
75,Nouvelle Aquitaine,48,2021-11-29,2098.5120575
76,Occitanie,48,2021-11-29,2085.3658537
84,Auvergne et Rhône-Alpes,48,2021-11-29,2130.8411215
93,Provence-Alpes-Côte d'Azur,48,2021-11-29,2248.2517483
94,Corse,44,2021-11-01,1855.6701031
