date_monday,year_iso,week_iso_num,geo_level,geo_code,geo_name,couv_dose1,couv_dose2,couv_rappel,n_dose1,n_complet,n_rappel,n_cum_dose1,n_cum_complet,n_cum_rappel,topic
2020-12-22,2020,52,FR,FR,France,0.0,0.0,0.0,1137,93,0,1137,93,0,VACSI
2020-12-29,2020,53,FR,FR,France,0.0,0.0,0.0,4821,190,0,5958,283,0,VACSI
2021-01-05,2021,1,FR,FR,France,0.2,0.0,0.0,141283,809,0,147241,1092,0,VACSI
2021-01-12,2021,2,FR,FR,France,0.7,0.0,0.0,395822,3399,0,543063,4491,0,VACSI
2021-01-19,2021,3,FR,FR,France,1.9,0.0,0.0,673491,5317,0,1216554,9808,0,VACSI
2021-01-26,2021,4,FR,FR,France,2.8,0.1,0.0,511164,70033,0,1727718,79841,0,VACSI
2021-02-02,2021,5,FR,FR,France,3.5,0.4,0.0,369340,229751,0,2097058,309592,0,VACSI
2021-02-09,2021,6,FR,FR,France,4.2,1.1,0.0,368126,430295,0,2465184,739887,0,VACSI
2021-02-16,2021,7,FR,FR,France,4.7,2.0,0.0,294305,525009,0,2759489,1264896,0,VACSI
2021-02-23,2021,8,FR,FR,France,5.4,2.8,0.0,451086,416521,0,3210575,1681417,0,VACSI
2021-03-02,2021,9,FR,FR,France,6.6,3.4,0.0,1017485,367335,0,4228060,2048752,0,VACSI
2021-03-09,2021,10,FR,FR,France,8.9,4.0,0.0,1341137,321761,0,5569197,2370513,0,VACSI
2021-03-16,2021,11,FR,FR,France,10.9,4.4,0.0,1075570,241696,0,6644767,2612209,0,VACSI
2021-03-23,2021,12,FR,FR,France,13.6,4.9,0.0,1664346,300149,0,8309113,2912358,0,VACSI
2021-03-30,2021,13,FR,FR,France,16.4,5.7,0.0,1395194,468596,0,9704307,3380954,0,VACSI
2021-04-06,2021,14,FR,FR,France,19.0,6.8,0.0,1729900,764782,0,11434207,4145736,0,VACSI
2021-04-13,2021,15,FR,FR,France,22.0,8.3,0.0,1725425,914952,0,13159632,5060688,0,VACSI
2021-04-20,2021,16,FR,FR,France,24.7,10.1,0.0,1572751,1099890,0,14732383,6160578,0,VACSI
2021-04-27,2021,17,FR,FR,France,27.8,12.2,0.0,1860822,1169571,2,16593205,7330149,2,VACSI
2021-05-04,2021,18,FR,FR,France,31.2,14.6,0.0,2060219,1461069,0,18653424,8791218,2,VACSI
2021-05-11,2021,19,FR,FR,France,35.2,16.7,0.0,2581871,1178581,0,21235295,9969799,2,VACSI
2021-05-18,2021,20,FR,FR,France,40.2,18.7,0.0,2693691,986859,0,23928986,10956658,2,VACSI
2021-05-25,2021,21,FR,FR,France,44.4,20.8,0.0,2453929,1499161,0,26382915,12455819,2,VACSI
2021-06-01,2021,22,FR,FR,France,48.8,23.8,0.0,2549462,1836815,2,28932377,14292634,4,VACSI
2021-06-08,2021,23,FR,FR,France,52.9,27.2,0.0,2195711,2115452,2,31128088,16408086,6,VACSI
2021-06-15,2021,24,FR,FR,France,56.2,31.4,0.0,1751445,2557021,4,32879533,18965107,10,VACSI
2021-06-22,2021,25,FR,FR,France,58.6,36.3,0.0,1285712,3017826,12,34165245,21982933,22,VACSI
2021-06-29,2021,26,FR,FR,France,60.7,41.8,0.0,1208116,3106899,38,35373361,25089832,60,VACSI
