date_monday,year_iso,week_iso_num,geo_level,geo_code,geo_name,couv_dose1,couv_dose2,couv_rappel,n_dose1,n_complet,n_rappel,n_cum_dose1,n_cum_complet,n_cum_rappel,topic
2020-12-22,2020,52,REG,01,Guadeloupe,0.0,0.0,0.0,0,0,0,0,0,0,VACSI
2020-12-29,2020,53,REG,01,Guadeloupe,0.0,0.0,0.0,4,0,0,4,0,0,VACSI
2021-01-05,2021,1,REG,01,Guadeloupe,0.0,0.0,0.0,147,2,0,151,2,0,VACSI
2021-01-12,2021,2,REG,01,Guadeloupe,0.1,0.0,0.0,299,4,0,450,6,0,VACSI
2021-01-19,2021,3,REG,01,Guadeloupe,0.3,0.0,0.0,736,3,0,1186,9,0,VACSI
2021-01-26,2021,4,REG,01,Guadeloupe,0.6,0.0,0.0,1024,13,0,2210,22,0,VACSI
2021-02-02,2021,5,REG,01,Guadeloupe,1.0,0.0,0.0,1168,114,0,3378,136,0,VACSI
2021-02-09,2021,6,REG,01,Guadeloupe,1.3,0.1,0.0,1106,257,0,4484,393,0,VACSI
2021-02-16,2021,7,REG,01,Guadeloupe,1.5,0.1,0.0,671,115,0,5155,508,0,VACSI
2021-02-23,2021,8,REG,01,Guadeloupe,1.9,0.3,0.0,1294,424,0,6449,932,0,VACSI
2021-03-02,2021,9,REG,01,Guadeloupe,2.3,0.4,0.0,2047,546,0,8496,1478,0,VACSI
2021-03-09,2021,10,REG,01,Guadeloupe,3.0,0.6,0.0,1948,571,0,10444,2049,0,VACSI
2021-03-16,2021,11,REG,01,Guadeloupe,3.8,0.7,0.0,2526,426,0,12970,2475,0,VACSI
2021-03-23,2021,12,REG,01,Guadeloupe,4.7,0.9,0.0,3011,645,0,15981,3120,0,VACSI
2021-03-30,2021,13,REG,01,Guadeloupe,5.4,1.1,0.0,1924,553,0,17905,3673,0,VACSI
2021-04-06,2021,14,REG,01,Guadeloupe,6.1,1.3,0.0,2403,911,0,20308,4584,0,VACSI
2021-04-13,2021,15,REG,01,Guadeloupe,6.8,1.7,0.0,2691,1321,0,22999,5905,0,VACSI
2021-04-20,2021,16,REG,01,Guadeloupe,7.9,2.2,0.0,4740,1533,0,27739,7438,0,VACSI
2021-04-27,2021,17,REG,01,Guadeloupe,9.7,2.5,0.0,5711,1177,0,33450,8615,0,VACSI
2021-05-04,2021,18,REG,01,Guadeloupe,11.5,2.9,0.0,5468,1205,0,38918,9820,0,VACSI
2021-05-11,2021,19,REG,01,Guadeloupe,12.8,3.3,0.0,4270,1283,0,43188,11103,0,VACSI
2021-05-18,2021,20,REG,01,Guadeloupe,14.1,3.9,0.0,3918,2096,0,47106,13199,0,VACSI
2021-05-25,2021,21,REG,01,Guadeloupe,15.0,4.6,0.0,2594,2527,0,49700,15726,0,VACSI
2021-06-01,2021,22,REG,01,Guadeloupe,16.0,5.6,0.0,3474,4487,0,53174,20213,0,VACSI
2021-06-08,2021,23,REG,01,Guadeloupe,16.9,7.3,0.0,2880,7898,0,56054,28111,0,VACSI
2021-06-15,2021,24,REG,01,Guadeloupe,17.7,10.2,0.0,2727,6433,0,58781,34544,0,VACSI
2021-06-22,2021,25,REG,01,Guadeloupe,18.5,11.5,0.0,2365,4391,0,61146,38935,0,VACSI
2021-06-29,2021,26,REG,01,Guadeloupe,19.2,12.8,0.0,2461,4085,0,63607,43020,0,VACSI
2021-07-06,2021,27,REG,01,Guadeloupe,20.0,14.1,0.0,2578,4077,0,66185,47097,0,VACSI
2021-07-13,2021,28,REG,01,Guadeloupe,21.2,15.3,0.0,4689,4131,0,70874,51228,0,VACSI
2021-07-20,2021,29,REG,01,Guadeloupe,22.8,16.5,0.0,4989,4034,0,75863,55262,0,VACSI
2021-07-27,2021,30,REG,01,Guadeloupe,24.4,17.7,0.0,5700,3677,0,81563,58939,0,VACSI
2021-08-03,2021,31,REG,01,Guadeloupe,25.9,18.8,0.0,4598,3830,0,86161,62769,0,VACSI
2021-08-10,2021,32,REG,01,Guadeloupe,27.5,20.1,0.0,5750,4614,0,91911,67383,0,VACSI
2021-08-17,2021,33,REG,01,Guadeloupe,29.7,21.8,0.0,7242,5347,0,99153,72730,0,VACSI
2021-08-24,2021,34,REG,01,Guadeloupe,32.1,23.3,0.0,7818,5276,22,106971,78006,22,VACSI
2021-08-31,2021,35,REG,01,Guadeloupe,34.2,25.0,0.1,6099,5494,216,113070,83500,238,VACSI
2021-09-07,2021,36,REG,01,Guadeloupe,35.5,26.8,0.1,3864,5974,281,116934,89474,519,VACSI
2021-09-14,2021,37,REG,01,Guadeloupe,36.5,28.9,0.3,2898,7305,389,119832,96779,908,VACSI
2021-09-21,2021,38,REG,01,Guadeloupe,37.1,31.1,0.4,2218,6697,419,122050,103476,1327,VACSI
2021-09-28,2021,39,REG,01,Guadeloupe,37.8,32.7,0.5,2277,4630,429,124327,108106,1756,VACSI
2021-10-05,2021,40,REG,01,Guadeloupe,38.5,33.9,0.7,2364,3721,526,126691,111827,2282,VACSI
2021-10-12,2021,41,REG,01,Guadeloupe,39.3,34.9,0.8,2256,2925,569,128947,114752,2851,VACSI
2021-10-19,2021,42,REG,01,Guadeloupe,39.8,35.6,1.0,1685,2329,561,130632,117081,3412,VACSI
2021-10-26,2021,43,REG,01,Guadeloupe,40.3,36.3,1.2,1469,2146,700,132101,119227,4112,VACSI
2021-11-02,2021,44,REG,01,Guadeloupe,40.7,37.0,1.4,1472,2302,743,133573,121529,4855,VACSI
2021-11-09,2021,45,REG,01,Guadeloupe,41.2,37.6,1.8,1411,1916,1319,134984,123445,6174,VACSI
2021-11-16,2021,46,REG,01,Guadeloupe,41.5,38.1,2.2,884,1349,1041,135868,124794,7215,VACSI
2021-11-23,2021,47,REG,01,Guadeloupe,41.7,38.4,2.6,588,1111,2090,136456,125905,9305,VACSI
2021-11-30,2021,48,REG,01,Guadeloupe,41.9,38.9,4.1,792,1740,5772,137248,127645,15077,VACSI
